ACCESSION_NUMBER	ISSUER_NAME	BALANCE	CURRENCY_VALUE	PERCENTAGE	INVESTMENT_COUNTRY	ISSUER_LEI
0001193125-26-029054	8LZT-FP8I.AF	304.0	24.34	1.5535e-06	US	
0001193125-26-029054	94MY-S02X.AF	364.0	29.1	1.8573e-06	US	
0001193125-26-029054	N2HR-T32Q.AF	118.0	119.07	7.5998e-06	US	
0001193125-26-029054	LM1R-OD8W.AF	1257.0	100.56	6.4183e-06	US	
0001193125-26-029054	2TEZ-UAU4.AF	146.0	11.69	7.461e-07	US	
0001193125-26-029054	6S59-HFQ2.AF	2110.0	2216.12	0.0001414462	US	
0001193125-26-029054	32AL-NVAB.AF	151.0	12.1	7.723e-07	US	
0001193125-26-029054	E3QM-MPIK.AF	2876.0	230.08	1.46851e-05	US	
0001193125-26-029054	6OZ7-SEYL.AF	38.0	38.37	2.449e-06	US	
0001193125-26-029054	NEGR-5CG7.AF	394.0	56.56	3.61e-06	US	
0001193125-26-029054	R7S9-2666.AF	49.0	3.93	2.508e-07	US	
0001193125-26-029054	BXHJ-YL9Q.AF	471.0	37.69	2.4056e-06	US	
0001193125-26-029054	74CD-4LI8.AF	73.0	72.68	4.6389e-06	US	
0001193125-26-029054	PZT4-SJ2S.AF	1427.0	114.19	7.2883e-06	US	
0001193125-26-029054	BYG0-HAH4.AF	123.0	14.09	8.993e-07	US	
0001193125-26-029054	10Z7-4633.AF	45.0	45.31	2.892e-06	US	
0001193125-26-029054	L9DF-T4WZ.AF	105.0	103.46	6.6034e-06	US	
0001193125-26-029054	MBR7-0BI2.AF	167.0	169.33	1.08077e-05	US	
0001193125-26-029054	0YI7-KUP5.AF	502.0	40.16	2.5633e-06	US	
0001193125-26-029054	ICMQ-LAOQ.AF	334.0	26.7	1.7042e-06	US	
0001193125-26-029054	PA1M-MCPC.AF	98.0	97.3	6.2103e-06	US	
0001193125-26-029054	AHWN-FE0R.AF	191.0	193.03	1.23203e-05	US	
0001193125-26-029054	HEBI-919T.AF	42.0	42.28	2.6986e-06	US	
0001193125-26-029054	AHV4-YZ36.AF	138.0	137.49	8.7754e-06	US	
0001193125-26-029054	UBB1-KZYE.AF	64.0	5.1	3.255e-07	US	
0001193125-26-029054	7MAX-OAE6.AF	35.0	2.8	1.787e-07	US	
0001193125-26-029054	WLOC-MIX6.AF	95.0	96.01	6.1279e-06	US	
0001193125-26-029054	4E9U-95NP.AF	123.0	123.78	7.9004e-06	US	
0001193125-26-029054	8APM-3FPA.AF	45.0	4.12	2.63e-07	US	
0001193125-26-029054	KK16-0HQ7.AF	538.0	43.03	2.7464e-06	US	
0001193125-26-029054	TV53-2LF3.AF	105.0	8.43	5.381e-07	US	
0001193125-26-029054	IEDU-SJSQ.AF	69.0	5.53	3.53e-07	US	
0001193125-26-029054	JPZ3-7O8D.AF	236.0	245.32	1.56578e-05	US	
0001193125-26-029054	91NQ-3E0D.AF	318.0	321.79	2.05386e-05	US	
0001193125-26-029054	I6M6-LLGW.AF	174.0	13.88	8.859e-07	US	
0001193125-26-029054	TDRK-5R6M.AF	1046.0	1083.8	6.91747e-05	US	
0001193125-26-029054	I8D1-M59S.AF	151.0	12.1	7.723e-07	US	
0001193125-26-029054	WJMR-GNSN.AF	27.0	5.9	3.766e-07	US	
0001193125-26-029054	G0DL-3CHN.AF	13.0	13.36	8.527e-07	US	
0001193125-26-029054	F0IO-2CMB.AF	472.0	37.72	2.4075e-06	US	
0001193125-26-029054	BAJL-PZIN.AF	275.0	22.01	1.4048e-06	US	
0001193125-26-029054	T2ZE-837W.AF	116.0	121.01	7.7236e-06	US	
0001193125-26-029054	6D48-QZTR.AF	285.0	291.44	1.86015e-05	US	
0001193125-26-029054	IOS1-WUAW.AF	436.0	446.22	2.84805e-05	US	
0001193125-26-029054	ZLAT-WWM9.AF	33.0	15.01	9.58e-07	US	
0001193125-26-029054	YRNX-MX2U.AF	232.0	230.53	1.47138e-05	US	
0001193125-26-029054	GF5X-X0HM.AF	57.0	56.8	3.6253e-06	US	
0001193125-26-029054	ZPTV-21WE.AF	214.0	216.6	1.38247e-05	US	
0001193125-26-029054	YYXU-Q7A3.AF	27.0	27.66	1.7654e-06	US	
0001193125-26-029054	9FS2-BC88.AF	46.0	3.69	2.355e-07	US	
0001193125-26-029054	Z0RR-1W00.AF	109.0	110.95	7.0815e-06	US	
0001193125-26-029054	EDPT-HJKM.AF	219.0	219.09	1.39836e-05	US	
0001193125-26-029054	0RYD-TKZE.AF	108.0	8.65	5.521e-07	US	
0001193125-26-029054	EMEG-CLUL.AF	76.0	77.3	4.9338e-06	US	
0001193125-26-029054	GQ2W-7GCE.AF	917.0	73.35	4.6816e-06	US	
0001193125-26-029054	7A57-COQF.AF	241.0	19.28	1.2306e-06	US	
0001193125-26-029054	0F5C-NBQK.AF	401.0	405.84	2.59032e-05	US	
0001193125-26-029054	L078-H31U.AF	380.0	386.79	2.46873e-05	US	
0001193125-26-029054	7GSS-PQ9D.AF	126.0	128.79	8.2202e-06	US	
0001193125-26-029054	DZSY-5GV4.AF	53.0	53.24	3.3981e-06	US	
0001193125-26-029054	69RK-BGSU.AF	40.0	39.31	2.509e-06	US	
0001193125-26-029054	BX9B-429O.AF	33.0	32.99	2.1056e-06	US	
0001193125-26-029054	OYDR-7HO2.AF	19.0	19.48	1.2433e-06	US	
0001193125-26-029054	SS1D-4NSS.AF	94.0	95.26	6.0801e-06	US	
0001193125-26-029054	RSO7-O9CM.AF	480.0	481.43	3.07278e-05	US	
0001193125-26-029054	1O91-AW37.AF	5.0	4.9	3.127e-07	US	
0001193125-26-029054	VAMP-MTFG.AF	134.0	133.46	8.5182e-06	US	
0001193125-26-029054	XLAI-3B0J.AF	42.0	41.97	2.6788e-06	US	
0001193125-26-029054	YZY1-G6M0.AF	1067.0	1084.92	6.92462e-05	US	
0001193125-26-029054	CFAX-Y7ZT.AF	366.0	29.29	1.8695e-06	US	
0001193125-26-029054	UL93-5EXN.AF	152.0	155.02	9.8943e-06	US	
0001193125-26-029054	G5OL-I50T.AF	182.0	14.59	9.312e-07	US	
0001193125-26-029054	O9RP-XB5Z.AF	185.0	184.32	1.17644e-05	US	
0001193125-26-029054	XG2D-XGD2.AF	106.0	106.21	6.779e-06	US	
0001193125-26-029054	CNSA-OA9B.AF	27.0	26.9	1.7169e-06	US	
0001193125-26-029054	SC1D-CMQW.AF	91.0	87.59	5.5905e-06	US	
0001193125-26-029054	4P7B-T9SM.AF	32.0	32.18	2.0539e-06	US	
0001193125-26-029054	JMQK-UAFM.AF	99.0	99.13	6.3271e-06	US	
0001193125-26-029054	5UWI-9E55.AF	3043.0	589.61	3.76325e-05	US	
0001193125-26-029054	UIBV-2H0Y.AF	836.0	856.19	5.46472e-05	US	
0001193125-26-029054	JOJI-TOUJ.AF	74.0	73.55	4.6944e-06	US	
0001193125-26-029054	ROMV-Y4IT.AF	249.0	244.42	1.56004e-05	US	
0001193125-26-029054	K9ZQ-XIFD.AF	107.0	8.56	5.464e-07	US	
0001193125-26-029054	52ES-9AMW.AF	531.0	42.52	2.7139e-06	US	
0001193125-26-029054	A2GH-8PF5.AF	132.0	10.59	6.759e-07	US	
0001193125-26-029054	PBMZ-EWR5.AF	240.0	19.2	1.2255e-06	US	
0001193125-26-029054	VN63-XXUH.AF	124.0	123.86	7.9055e-06	US	
0001193125-26-029054	9EVP-COYL.AF	22.0	21.9	1.3978e-06	US	
0001193125-26-029054	8X2T-R8RW.AF	744.0	156.17	9.9677e-06	US	
0001193125-26-029054	KJXH-7UEY.AF	40.0	9.84	6.28e-07	US	
0001193125-26-029054	QXC4-NJQ2.AF	82.0	6.58	4.2e-07	US	
0001193125-26-029054	B5W5-9335.AF	34.0	33.82	2.1586e-06	US	
0001193125-26-029054	H0EY-9L60.AF	536.0	42.92	2.7394e-06	US	
0001193125-26-029054	2PX1-HFCA.AF	144.0	141.4	9.025e-06	US	
0001193125-26-029054	0MTO-U19R.AF	111.0	8.85	5.649e-07	US	
0001193125-26-029054	KJXY-2MK9.AF	200.0	16.0	1.0212e-06	US	
0001193125-26-029054	R4NE-LEG7.AF	159.0	160.46	1.02415e-05	US	
0001193125-26-029054	S3RI-1B4Q.AF	211.0	62.4	3.9827e-06	US	
0001193125-26-029054	MDBG-0UX3.AF	587.0	584.57	3.73108e-05	US	
0001193125-26-029054	JDBW-D2XS.AF	43.0	42.72	2.7266e-06	US	
0001193125-26-029054	0TDH-QJJZ.AF	545.0	43.57	2.7809e-06	US	
0001193125-26-029054	B39G-TGXR.AF	88.0	87.02	5.5541e-06	US	
0001193125-26-029054	GSJE-OYJS.AF	76.0	6.07	3.874e-07	US	
0001193125-26-029054	YQ61-NO09.AF	200.0	114.73	7.3228e-06	US	
0001193125-26-029054	Q01T-8BU1.AF	170.0	13.63	8.699e-07	US	
0001193125-26-029054	O1ZQ-0JXK.AF	49.0	49.42	3.1543e-06	US	
0001193125-26-029054	391A-S8TO.AF	324.0	25.93	1.655e-06	US	
0001193125-26-029054	XLBD-CZP0.AF	315.0	25.22	1.6097e-06	US	
0001193125-26-029054	O7SZ-MAX4.AF	92.0	95.38	6.0877e-06	US	
0001193125-26-029054	89FZ-2FPC.AF	76.0	6.1	3.893e-07	US	
0001193125-26-029054	56IG-07Z4.AF	394.0	31.53	2.0124e-06	US	
0001193125-26-029054	RHD7-8KH6.AF	21.0	21.45	1.3691e-06	US	
0001193125-26-029054	O0EA-4BM1.AF	40.0	39.67	2.532e-06	US	
0001193125-26-029054	00D0-11JC.AF	87.0	87.69	5.5969e-06	US	
0001193125-26-029054	3063-KRSP.AF	55.0	4.41	2.815e-07	US	
0001193125-26-029054	3M6G-IUGJ.AF	191.0	192.23	1.22693e-05	US	
0001193125-26-029054	90PE-GEDN.AF	49.0	48.65	3.1051e-06	US	
0001193125-26-029054	OKBV-YYXN.AF	172.0	13.76	8.782e-07	US	
0001193125-26-029054	9CY3-A189.AF	1393.0	111.47	7.1147e-06	US	
0001193125-26-029054	JG55-MJAD.AF	59.0	60.17	3.8404e-06	US	
0001193125-26-029054	G77Q-9F3Q.AF	316.0	25.25	1.6116e-06	US	
0001193125-26-029054	ZR2W-Y6QD.AF	173.0	40.76	2.6015e-06	US	
0001193125-26-029054	Z8MB-V75T.AF	367.0	381.49	2.4349e-05	US	
0001193125-26-029054	GP64-04B6.AF	77.0	77.31	4.9344e-06	US	
0001193125-26-029054	OZ6N-ES7Q.AF	222.0	220.94	1.41017e-05	US	
0001193125-26-029054	ETNK-FNSH.AF	43.0	3.45	2.202e-07	US	
0001193125-26-029054	TGQF-G6XX.AF	330.0	26.38	1.6837e-06	US	
0001193125-26-029054	1GTK-95RO.AF	45.0	44.78	2.8581e-06	US	
0001193125-26-029054	OJ46-6TX9.AF	144.0	147.54	9.4169e-06	US	
0001193125-26-029054	HLQV-TCTV.AF	49.0	3.9	2.489e-07	US	
0001193125-26-029054	RGLG-I4G3.AF	21.0	20.98	1.3391e-06	US	
0001193125-26-029054	GSGM-MQIE.AF	55.0	4.38	2.796e-07	US	
0001193125-26-029054	CNYN-RJEK.AF	29.0	29.89	1.9078e-06	US	
0001193125-26-029054	JR9C-0S3T.AF	622.0	49.74	3.1747e-06	US	
0001193125-26-029054	TIZZ-RNCZ.AF	77.0	77.63	4.9548e-06	US	
0001193125-26-029054	OMBA-V4Y1.AF	8.0	7.73	4.934e-07	US	
0001193125-26-029054	YENT-423U.AF	183.0	187.72	1.19814e-05	US	
0001193125-26-029054	V4G5-9ELS.AF	218.0	17.44	1.1131e-06	US	
0001193125-26-029054	QVLB-LZ4U.AF	64.0	5.13	3.274e-07	US	
0001193125-26-029054	GKIJ-A0CS.AF	35.0	34.98	2.2326e-06	US	
0001193125-26-029054	MJ6V-GDIH.AF	228.0	230.23	1.46947e-05	US	
0001193125-26-029054	Z2OX-7C64.AF	159.0	161.87	1.03315e-05	US	
0001193125-26-029054	7NLT-AVWW.AF	602.0	596.12	3.8048e-05	US	
0001193125-26-029054	S1KN-7OJ9.AF	137.0	139.2	8.8846e-06	US	
0001193125-26-029054	LVZW-P66E.AF	160.0	12.76	8.144e-07	US	
0001193125-26-029054	5L1E-7PT9.AF	1153.0	1203.87	7.68383e-05	US	
0001193125-26-029054	AI7J-23KP.AF	218.0	221.03	1.41075e-05	US	
0001193125-26-029054	76SS-P3W3.AF	1827.0	146.13	9.3269e-06	US	
0001193125-26-029054	2VPP-IMYA.AF	111.0	113.01	7.213e-06	US	
0001193125-26-029054	OOW9-TD7J.AF	126.0	127.3	8.1251e-06	US	
0001193125-26-029054	FECF-LHDR.AF	268.0	21.47	1.3703e-06	US	
0001193125-26-029054	YKES-L8E6.AF	85.0	6.76	4.315e-07	US	
0001193125-26-029054	Q3LA-03SX.AF	336.0	26.88	1.7156e-06	US	
0001193125-26-029054	T8R8-8WS0.AF	65.0	63.99	4.0842e-06	US	
0001193125-26-029054	8641-KHTH.AF	67.0	68.17	4.351e-06	US	
0001193125-26-029054	SPY7-YPM7.AF	64.0	64.63	4.1251e-06	US	
0001193125-26-029054	NG4N-US54.AF	177.0	14.13	9.019e-07	US	
0001193125-26-029054	BGEA-Q5UB.AF	530.0	42.42	2.7075e-06	US	
0001193125-26-029054	5GFM-B8G1.AF	123.0	28.17	1.798e-06	US	
0001193125-26-029054	TC0E-FWUI.AF	103.0	104.67	6.6807e-06	US	
0001193125-26-029054	KFVE-9PJZ.AF	180.0	178.17	1.13719e-05	US	
0001193125-26-029054	5JT1-2YHD.AF	41.0	41.33	2.6379e-06	US	
0001193125-26-029054	GZ7T-X9BQ.AF	112.0	112.06	7.1523e-06	US	
0001193125-26-029054	3QXD-6AMH.AF	511.0	513.35	3.27651e-05	US	
0001193125-26-029054	UO3K-FJSE.AF	287.0	291.9	1.86308e-05	US	
0001193125-26-029054	CXKE-ST8A.AF	195.0	15.63	9.976e-07	US	
0001193125-26-029054	236M-Z5JP.AF	49.0	49.01	3.1281e-06	US	
0001193125-26-029054	Q92M-NZZL.AF	47.0	3.74	2.387e-07	US	
0001193125-26-029054	IVL8-061I.AF	1266.0	1277.68	8.15493e-05	US	
0001193125-26-029054	HBJX-WPY0.AF	10.0	10.23	6.529e-07	US	
0001193125-26-029054	ELZ8-4H9J.AF	27.0	26.96	1.7208e-06	US	
0001193125-26-029054	LTZC-6KWW.AF	122.0	9.77	6.236e-07	US	
0001193125-26-029054	95AX-6AS7.AF	219.0	17.52	1.1182e-06	US	
0001193125-26-029054	HT80-3K23.AF	516.0	41.25	2.6328e-06	US	
0001193125-26-029054	KFUB-J36S.AF	47.0	23.73	1.5146e-06	US	
0001193125-26-029054	OTIY-J2CZ.AF	125.0	127.39	8.1308e-06	US	
0001193125-26-029054	1YCD-TRGA.AF	137.0	10.97	7.002e-07	US	
0001193125-26-029054	BU0S-1QX8.AF	977.0	78.12	4.9861e-06	US	
0001193125-26-029054	L2VP-9GQZ.AF	56.0	55.71	3.5557e-06	US	
0001193125-26-029054	D3Q1-HPGB.AF	41.0	40.77	2.6022e-06	US	
0001193125-26-029054	YHHY-YNZF.AF	20.0	19.74	1.2599e-06	US	
0001193125-26-029054	9TOC-YVIO.AF	75.0	76.01	4.8514e-06	US	
0001193125-26-029054	29Q8-U30K.AF	105.0	104.6	6.6762e-06	US	
0001193125-26-029054	76OK-7YNS.AF	1124.0	1143.67	7.29959e-05	US	
0001193125-26-029054	QKMG-9EW1.AF	161.0	164.0	1.04675e-05	US	
0001193125-26-029054	MZ5H-DY7N.AF	354.0	369.12	2.35595e-05	US	
0001193125-26-029054	KI0K-612S.AF	446.0	35.69	2.278e-06	US	
0001193125-26-029054	2X45-DNCI.AF	68.0	67.05	4.2795e-06	US	
0001193125-26-029054	JJA3-07MO.AF	45.0	3.63	2.317e-07	US	
0001193125-26-029054	RAWX-1LXC.AF	123.0	122.47	7.8168e-06	US	
0001193125-26-029054	QZEU-M196.AF	37.0	37.45	2.3903e-06	US	
0001193125-26-029054	H6SF-JPZD.AF	373.0	29.85	1.9052e-06	US	
0001193125-26-029054	EKTY-1IHX.AF	578.0	46.24	2.9513e-06	US	
0001193125-26-029054	OTEC-81GF.AF	56.0	4.45	2.84e-07	US	
0001193125-26-029054	376P-4PY6.AF	726.0	58.1	3.7083e-06	US	
0001193125-26-029054	0O52-VTM2.AF	63.0	5.02	3.204e-07	US	
0001193125-26-029054	HJ06-T9GJ.AF	45.0	3.58	2.285e-07	US	
0001193125-26-029054	7BTY-BSWX.AF	23.0	23.09	1.4737e-06	US	
0001193125-26-029054	KFE0-GPN8.AF	92.0	91.93	5.8675e-06	US	
0001193125-26-029054	4PTB-E8HR.AF	322.0	322.63	2.05922e-05	US	
0001193125-26-029054	QJF3-ZX52.AF	70.0	71.65	4.5731e-06	US	
0001193125-26-029054	H08B-9WQD.AF	541.0	544.37	3.4745e-05	US	
0001193125-26-029054	3MIF-POWG.AF	82.0	81.8	5.221e-06	US	
0001193125-26-029054	ZLIZ-X117.AF	94.0	95.06	6.0673e-06	US	
0001193125-26-029054	5EWM-U90I.AF	479.0	483.25	3.08439e-05	US	
0001193125-26-029054	5HBV-EU93.AF	152.0	12.12	7.736e-07	US	
0001193125-26-029054	GOLN-UW2L.AF	300.0	308.85	1.97127e-05	US	
0001193125-26-029054	R2W8-P4G3.AF	371.0	29.64	1.8918e-06	US	
0001193125-26-029054	X2G3-XXJZ.AF	278.0	282.02	1.80002e-05	US	
0001193125-26-029054	FAN5-ZTI4.AF	23.0	23.07	1.4725e-06	US	
0001193125-26-029054	TWAK-33WR.AF	22.0	21.4	1.3659e-06	US	
0001193125-26-029054	R5G4-I6PH.AF	60.0	60.5	3.8615e-06	US	
0001193125-26-029054	B4A1-KB46.AF	259.0	20.69	1.3206e-06	US	
0001193125-26-029054	UAYO-5M8U.AF	261.0	259.52	1.65641e-05	US	
0001193125-26-029054	JJKL-CUHL.AF	446.0	35.69	2.278e-06	US	
0001193125-26-029054	KP5T-JJME.AF	213.0	209.7	1.33843e-05	US	
0001193125-26-029054	B9NY-BM65.AF	234.0	235.92	1.50578e-05	US	
0001193125-26-029054	HK2S-KPR1.AF	39.0	17.73	1.1316e-06	US	
0001193125-26-029054	UMR0-Z75H.AF	118.0	9.41	6.006e-07	US	
0001193125-26-029054	4011-D43I.AF	182.0	14.55	9.287e-07	US	
0001193125-26-029054	8RIK-WOM4.AF	107.0	8.52	5.438e-07	US	
0001193125-26-029054	5M1E-GNUZ.AF	79.0	77.58	4.9516e-06	US	
0001193125-26-029054	CDAE-9KCW.AF	190.0	15.18	9.689e-07	US	
0001193125-26-029054	KF8D-RFIG.AF	147.0	147.4	9.408e-06	US	
0001193125-26-029054	7L3O-LK0H.AF	56.0	56.47	3.6043e-06	US	
0001193125-26-029054	SCGV-74S3.AF	735.0	754.62	4.81644e-05	US	
0001193125-26-029054	J5GV-Y5DL.AF	70.0	70.74	4.5151e-06	US	
0001193125-26-029054	3G71-G7GB.AF	20.0	20.15	1.2861e-06	US	
0001193125-26-029054	J6RO-7UGM.AF	52.0	51.28	3.273e-06	US	
0001193125-26-029054	RC9X-E4HP.AF	222.0	17.78	1.1348e-06	US	
0001193125-26-029054	NBMY-DP12.AF	1334.0	1379.17	8.8027e-05	US	
0001193125-26-029054	KMAJ-1PVE.AF	16.0	16.47	1.0512e-06	US	
0001193125-26-029054	8JL9-NZPL.AF	16.0	1.26	8.04e-08	US	
0001193125-26-029054	SA23-WX0I.AF	192.0	15.37	9.81e-07	US	
0001193125-26-029054	58QT-P1IL.AF	74.0	5.91	3.772e-07	US	
0001193125-26-029054	Z7BT-QDLM.AF	197.0	199.95	1.2762e-05	US	
0001193125-26-029054	X4GY-G3DE.AF	16.0	16.12	1.0289e-06	US	
0001193125-26-029054	T36S-SM4X.AF	259.0	258.96	1.65284e-05	US	
0001193125-26-029054	GANF-8AKS.AF	174.0	176.66	1.12755e-05	US	
0001193125-26-029054	IMLB-G66A.AF	587.0	592.56	3.78208e-05	US	
0001193125-26-029054	2ZZT-1AHY.AF	106.0	0.0	0.0	US	
0001193125-26-029054	BGNQ-QUAH.AF	177.0	14.18	9.051e-07	US	
0001193125-26-029054	89W0-KW9V.AF	282.0	22.55	1.4393e-06	US	
0001193125-26-029054	C0LZ-AU6V.AF	144.0	146.43	9.346e-06	US	
0001193125-26-029054	9FH4-4RIT.AF	973.0	77.83	4.9676e-06	US	
0001193125-26-029054	EAHI-3YL0.AF	69.0	5.5	3.51e-07	US	
0001193125-26-029054	R0AY-KQAF.AF	29.0	28.63	1.8273e-06	US	
0001193125-26-029054	ULV8-ZVZD.AF	25.0	2.02	1.289e-07	US	
0001193125-26-029054	HBDG-MOEN.AF	409.0	419.97	2.6805e-05	US	
0001193125-26-029054	38DA-7KP1.AF	150.0	154.95	9.8898e-06	US	
0001193125-26-029054	1IWY-B043.AF	81.0	81.1	5.1763e-06	US	
0001193125-26-029054	C7Z5-L04N.AF	255.0	252.59	1.61218e-05	US	
0001193125-26-029054	Y7NQ-2P6P.AF	43.0	43.29	2.763e-06	US	
0001193125-26-029054	UEZ0-7O1H.AF	587.0	588.75	3.75776e-05	US	
0001193125-26-029054	9JFL-HSLR.AF	220.0	17.58	1.1221e-06	US	
0001193125-26-029054	LUZB-VBVM.AF	143.0	142.33	9.0844e-06	US	
0001193125-26-029054	VXMY-OCQ6.AF	162.0	168.48	1.07534e-05	US	
0001193125-26-029054	HUJ5-Z1F4.AF	90.0	90.91	5.8024e-06	US	
